flight_number,departure_station_code,arrival_station_code,scheduled_departure_dtl,entree_product_id,entree_description,entree_code,planned_entree_count,consumed_entree_count
2634,IAX,PDX,01-09-2022,58019,Belgium waffle,WF,20,32
2666,ORX,IAX,01-09-2022,60549,Vegetarian chili and polenta cake,V,3,0
2310,DEX,SAX,02-09-2022,58981,Scrambled eggs,O,9,7
1712,SFX,CLX,04-09-2022,58764,Mediterranean Falafel Bowl,V,1,0
1225,LAX,HNX,08-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
2637,CLX,MCX,12-09-2022,58019,Belgium waffle,WF,16,16
1691,DEX,SAX,12-09-2022,58574,Belgium waffle,WF,6,2
592,SEX,EWX,13-09-2022,60983,Zatar chicken,C,22,22
1618,LAX,ORX,13-09-2022,60987,Impossible Meatball Bowl,V,7,4
2087,IAX,LAX,13-09-2022,60983,Zatar chicken,C,10,9
1508,DEX,SAX,14-09-2022,61360,Brioche cheeseburger,B,6,6
1572,IAX,BOX,16-09-2022,61360,Brioche cheeseburger,B,1,0
1685,SFX,LIX,17-09-2022,61360,Brioche cheeseburger,B,1,0
1946,MSX,DEX,18-09-2022,60983,Zatar chicken,C,20,16
2662,ORX,BZX,20-09-2022,58272,Horchata steel cut oatmeal,OM,2,0
1640,OGX,SFX,21-09-2022,60458,Crispy Hawaiian garlic tofu,V,6,0
1806,LAX,EWX,23-09-2022,60987,Impossible Meatball Bowl,V,7,0
1806,LAX,EWX,23-09-2022,60983,Zatar chicken,C,11,0
465,DEX,PDX,01-09-2022,60983,Zatar chicken,C,22,16
2196,ORX,IAX,04-09-2022,61360,Brioche cheeseburger,B,4,2
2083,ORX,MCX,04-09-2022,58272,Horchata steel cut oatmeal,OM,1,0
1283,DEX,BUX,05-09-2022,61530,Impossible Meatball Bowl,V,5,3
724,ORX,PHX,07-09-2022,58764,Mediterranean Falafel Bowl,V,1,0
1614,IAX,EWX,09-09-2022,58981,Scrambled eggs,O,14,10
234,DEX,SFX,09-09-2022,60987,Impossible Meatball Bowl,V,12,4
234,DEX,SFX,09-09-2022,61360,Brioche cheeseburger,B,2,1
725,HNX,SFX,02-09-2022,58091,Chicken katsu,C,22,20
1430,IAX,EWX,03-09-2022,60987,Impossible Meatball Bowl,V,12,6
615,IAX,SMX,03-09-2022,60987,Impossible Meatball Bowl,V,12,8
1187,DFX,ORX,04-09-2022,61529,Zatar chicken,C,7,4
1787,LAX,CLX,03-09-2022,60983,Zatar chicken,C,22,14
1828,IAX,LAX,08-09-2022,60983,Zatar chicken,C,7,0
1741,ORX,RSX,01-09-2022,58019,Belgium waffle,WF,9,8
787,DEX,SJX,06-09-2022,60983,Zatar chicken,C,10,0
1760,IAX,DCX,07-09-2022,61529,Zatar chicken,C,5,0
2213,IAX,SEX,10-09-2022,58764,Mediterranean Falafel Bowl,V,2,0
1741,ORX,RSX,14-09-2022,58272,Horchata steel cut oatmeal,OM,2,0
151,KIX,GUX,16-09-2022,44184,Chicken roulade,C,6,8
1542,LAX,IAX,20-09-2022,61529,Zatar chicken,C,7,0
1182,LAX,IAX,06-09-2022,58019,Belgium waffle,WF,10,9
2216,EWX,LAX,01-09-2022,56447,Kosher Meal,KS,1,1
1219,EWX,LAX,01-09-2022,61530,Impossible Meatball Bowl,V,4,0
707,OGX,LAX,05-09-2022,58091,Chicken katsu,C,12,11
407,DEX,LGX,05-09-2022,61530,Impossible Meatball Bowl,V,3,3
1657,ORX,CUX,11-09-2022,58764,Mediterranean Falafel Bowl,V,2,0
1657,ORX,CUX,11-09-2022,61360,Brioche cheeseburger,B,1,0
1663,ORX,LAX,13-09-2022,60549,Vegetarian chili and polenta cake,V,1,0
540,SFX,OGX,24-09-2022,53014,Thai chicken,C,9,9
1615,JAX,ORX,24-09-2022,61530,Impossible Meatball Bowl,V,5,5
2268,ORX,PDX,27-09-2022,60987,Impossible Meatball Bowl,V,6,0
455,EWX,MSX,12-09-2022,60987,Impossible Meatball Bowl,V,5,2
2457,LAX,EWX,13-09-2022,53162,Vegetarian entree,VG,2,0
2430,ORX,BOX,14-09-2022,58574,Belgium waffle,WF,5,0
2274,DEX,BWX,14-09-2022,58563,Tomato and kale baked egg,E,4,2
1137,DEX,MKX,16-09-2022,60987,Impossible Meatball Bowl,V,10,0
327,SEX,EWX,18-09-2022,61530,Impossible Meatball Bowl,V,5,0
1940,EWX,PBX,19-09-2022,61524,Scrambled eggs,O,6,6
2243,ORX,LAX,20-09-2022,58981,Scrambled eggs,O,24,24
1152,DFX,ORX,21-09-2022,58019,Belgium waffle,WF,16,8
1437,ORX,IAX,23-09-2022,60987,Impossible Meatball Bowl,V,6,4
412,DEX,LGX,25-09-2022,60987,Impossible Meatball Bowl,V,6,0
2279,ORX,SEX,06-09-2022,60987,Impossible Meatball Bowl,V,14,5
1207,DEX,YVX,09-09-2022,61360,Brioche cheeseburger,B,6,0
1998,IAX,SFX,10-09-2022,60549,Vegetarian chili and polenta cake,V,2,0
2296,ORX,YYX,10-09-2022,58272,Horchata steel cut oatmeal,OM,1,0
2351,SAX,ORX,11-09-2022,58574,Belgium waffle,WF,6,3
5681,IAX,ASX,23-09-2022,60985,Zatar chicken,C,4,1
1482,SNX,IAX,23-09-2022,60983,Zatar chicken,C,10,6
1587,DEX,LGX,24-09-2022,58981,Scrambled eggs,O,5,5
4782,DTX,IAX,24-09-2022,57994,Classic selection cheese tray,O,12,9
204,ORX,LAX,26-09-2022,58766,Gingerbread French Toast,FT,1,0
453,SFX,ORX,28-09-2022,58563,Tomato and kale baked egg,E,2,2
2131,SMX,DEX,29-09-2022,60983,Zatar chicken,C,24,20
248,LAX,EWX,02-09-2022,58488,Tapas,O2,8,8
2654,IAX,ORX,13-09-2022,58574,Belgium waffle,WF,5,3
1250,EWX,PHX,13-09-2022,61360,Brioche cheeseburger,B,2,0
1119,CUX,SFX,15-09-2022,58110,Vegetarian entree,V,8,0
2368,PIX,SFX,18-09-2022,58981,Scrambled eggs,O,8,0
