,flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,score,arrival_delay_minutes,arrival_delay_group,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
82,1979,SFX,LAX,PVXX4K,2022-09-01,chicken entrée,-15,Early & Ontime,Business,Domestic,2,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,337,Short,F12,76A,Domestic,member,THALES,hub departure
272,1020,CUX,IAX,EXXXCZ,2022-09-01,other (specify),-27,Early & Ontime,Economy,Latin,2,0 to 70,Non-Members,Millennial,B737-900,Mainline,37K,UA,812,Medium,C23,E1,International,non-member,THALES,spoke departure
278,3418,EWX,JAX,EWXXXF,2022-09-01,other (specify),-5,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,ERJ-175,Express,E7F,UAX,821,Medium,A27A,A8,Domestic,member,GOGO,hub departure
281,3418,EWX,JAX,C6XX5S,2022-09-01,chicken entrée,-5,Early & Ontime,Business,Domestic,1,90+,global services,Boomer,ERJ-175,Express,E7F,UAX,821,Medium,A27A,A8,Domestic,member,GOGO,hub departure
285,296,DEX,GEX,LWXXC1,2022-09-01,vegetarian entrée,-9,Early & Ontime,Business,Domestic,2,90+,premier silver,Boomer,A320-200,Mainline,20C,UA,836,Medium,C32,B1,Domestic,member,PANASONIC,hub departure
286,1256,GEX,DEX,JXXXLE,2022-09-01,chicken entrée,-18,Early & Ontime,Business,Domestic,2,80+,global services,Millennial,A320-200,Mainline,20C,UA,836,Medium,B1,C32,Domestic,member,PANASONIC,spoke departure
290,4725,FCX,SFX,EPXX3X,2022-09-01,snack basket selection,-26,Early & Ontime,Business,Domestic,1,0 to 70,premier gold,Boomer,ERJ-175,Express,E75,UAX,844,Medium,6,F6,Domestic,member,GOGO,spoke departure
291,6102,IAX,INX,M9XXNC,2022-09-01,chicken entrée,-8,Early & Ontime,Business,Domestic,1,90+,premier silver,Gen X,ERJ-175,Express,E7A,UAX,845,Medium,B83,A17,Domestic,member,GOGO,hub departure
294,486,IAX,INX,PWXXBF,2022-09-01,chicken entrée,26,Delayed,Business,Domestic,2,90+,non-elite,Boomer,A319-100,Mainline,19F,UA,845,Medium,C33,A25,Domestic,member,PANASONIC,hub departure
297,2200,SNX,DEX,HHXX4K,2022-09-01,chicken entrée,-7,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,A320-200,Mainline,20S,UA,846,Medium,10,B24,Domestic,member,PANASONIC,spoke departure
300,3501,ORX,PVX,GBXX6J,2022-09-01,chicken entrée,-15,Early & Ontime,Business,Domestic,1,90+,premier 1k,Gen X,ERJ-175,Express,E7F,UAX,849,Medium,C7,11,Domestic,member,,hub departure
303,541,DEX,SAX,PDXXGB,2022-09-01,vegetarian entrée,-7,Early & Ontime,Business,Domestic,2,90+,premier 1k,Boomer,B737-800,Mainline,73Y,UA,853,Medium,B39,45,Domestic,member,THALES,hub departure
307,405,DEX,IAX,PFXXDZ,2022-09-01,chicken entrée,-14,Early & Ontime,Business,Domestic,1,90+,premier silver,Boomer,B737-900,Mainline,37K,UA,861,Medium,B29,C44,Domestic,member,THALES,hub departure
315,2071,LAX,DEX,PNXXDK,2022-09-01,chicken entrée,-11,Early & Ontime,Business,Domestic,1,90+,premier 1k,Gen X,B737-800,Mainline,73Y,UA,862,Medium,71B,B28,Domestic,member,THALES,hub departure
